       Step     Time          Energy          fmax
LBFGS:    0 18:26:35      -35.253077        0.303497
LBFGS:    1 18:26:36      -35.263337        0.295301
LBFGS:    2 18:26:36      -35.450524        0.045817
LBFGS:    3 18:26:37      -35.451183        0.027270
LBFGS:    4 18:26:38      -35.451262        0.023535
LBFGS:    5 18:26:39      -35.451627        0.023411
LBFGS:    6 18:26:40      -35.451690        0.025972
LBFGS:    7 18:26:40      -35.451853        0.031433
LBFGS:    8 18:26:41      -35.452074        0.033681
LBFGS:    9 18:26:42      -35.452393        0.027163
LBFGS:   10 18:26:43      -35.452582        0.012357
LBFGS:   11 18:26:44      -35.452631        0.003462
