       Step     Time          Energy          fmax
LBFGS:    0 16:32:57      -35.432808        0.347673
LBFGS:    1 16:32:57      -35.444446        0.314645
LBFGS:    2 16:32:58      -35.491798        0.081183
LBFGS:    3 16:32:58      -35.493814        0.021537
LBFGS:    4 16:32:59      -35.493882        0.015238
LBFGS:    5 16:32:59      -35.493914        0.013200
LBFGS:    6 16:33:00      -35.494031        0.020429
LBFGS:    7 16:33:00      -35.494170        0.026225
LBFGS:    8 16:33:00      -35.494358        0.029304
LBFGS:    9 16:33:01      -35.494532        0.032335
LBFGS:   10 16:33:01      -35.494775        0.043248
LBFGS:   11 16:33:02      -35.495167        0.052622
LBFGS:   12 16:33:02      -35.495806        0.054823
LBFGS:   13 16:33:03      -35.496471        0.042511
LBFGS:   14 16:33:03      -35.496897        0.037300
LBFGS:   15 16:33:04      -35.497112        0.040069
LBFGS:   16 16:33:04      -35.497342        0.041605
LBFGS:   17 16:33:04      -35.497878        0.044846
LBFGS:   18 16:33:05      -35.498774        0.046909
LBFGS:   19 16:33:05      -35.499800        0.037022
LBFGS:   20 16:33:06      -35.500299        0.016055
LBFGS:   21 16:33:06      -35.500393        0.002915
