       Step     Time          Energy          fmax
LBFGS:    0 10:09:30      -35.309461        0.469590
LBFGS:    1 10:09:39      -35.332479        0.445035
LBFGS:    2 10:09:49      -35.358444        0.752518
LBFGS:    3 10:09:58      -35.482692        0.267409
LBFGS:    4 10:10:08      -35.495829        0.261887
LBFGS:    5 10:10:17      -35.503039        0.250157
LBFGS:    6 10:10:26      -35.510899        0.210204
LBFGS:    7 10:10:36      -35.520576        0.133936
LBFGS:    8 10:10:45      -35.524963        0.166490
LBFGS:    9 10:10:54      -35.527875        0.177520
LBFGS:   10 10:11:04      -35.533157        0.176395
LBFGS:   11 10:11:13      -35.540865        0.143121
LBFGS:   12 10:11:23      -35.547788        0.102447
LBFGS:   13 10:11:32      -35.551006        0.054418
LBFGS:   14 10:11:41      -35.551461        0.028125
LBFGS:   15 10:11:51      -35.551569        0.029127
LBFGS:   16 10:12:00      -35.551988        0.040072
LBFGS:   17 10:12:09      -35.552793        0.051921
LBFGS:   18 10:12:18      -35.554620        0.064333
LBFGS:   19 10:12:28      -35.557328        0.062165
LBFGS:   20 10:12:37      -35.559532        0.043994
LBFGS:   21 10:12:47      -35.560216        0.014264
LBFGS:   22 10:12:56      -35.560296        0.001178
