Difference added,Layer Distance (A),Energy (eV)
0.0,2.7389316600000004,-35.56736755371094
1.0,3.7389316600000013,-35.48804473876953
1.0,1.7389316600000004,-33.03694152832031
2.0,4.7389316599999995,-35.48804473876953
2.0,0.7389316600000004,-16.87605094909668
3.0,5.7389316599999995,-35.48804473876953
4.0,6.738931660000001,-35.48804473876953
5.0,7.7389316599999995,-35.48804473876953
6.0,8.738931659999999,-35.48804473876953
7.0,9.73893166,-35.48804473876953
8.0,10.738931660000002,-35.48804473876953
9.0,11.73893166,-35.48804473876953
10.0,12.73893166,-35.48804473876953
