Difference added,Layer Distance (A),Energy (eV)
0.0,2.7389316600000004,-33.755767822265625
1.0,3.7389316600000013,-33.67882537841797
1.0,1.7389316600000004,-31.622703552246094
2.0,4.7389316599999995,-33.67882537841797
2.0,0.7389316600000004,-15.722249984741211
3.0,5.7389316599999995,-33.67882537841797
4.0,6.738931660000001,-33.67882537841797
5.0,7.7389316599999995,-33.67882537841797
6.0,8.738931659999999,-33.67882537841797
7.0,9.73893166,-33.67882537841797
8.0,10.738931660000002,-33.67882537841797
9.0,11.73893166,-33.67882537841797
10.0,12.73893166,-33.67882537841797
