Difference added,Layer Distance (A),Energy (eV)
0.0,2.7389316600000004,-35.54132668873499
1.0,3.7389316600000013,-35.19911728764744
1.0,1.7389316600000004,-33.54111873192405
2.0,4.7389316599999995,-34.95035466703997
2.0,0.7389316600000004,-18.3142800036092
3.0,5.7389316599999995,-34.8138530422313
4.0,6.738931660000001,-34.74788771172403
5.0,7.7389316599999995,-34.71505071324386
6.0,8.738931659999999,-34.69723258175721
7.0,9.73893166,-34.68680412532668
8.0,10.738931660000002,-34.680337136050994
9.0,11.73893166,-34.67613184216234
10.0,12.73893166,-34.67328998072093
