Difference added,Layer Distance (A),Energy (eV)
2.0,0.7389316600000004,-16.792772258867988
1.0,1.7389316600000004,-33.29392873967796
0.0,2.7389316600000004,-35.60474942646937
1.0,3.7389316600000013,-35.16678394922947
2.0,4.7389316599999995,-34.822368588622
3.0,5.7389316599999995,-34.66292497381333
4.0,6.738931660000001,-34.590446123306066
5.0,7.7389316599999995,-34.556025754825896
6.0,8.738931659999999,-34.53790594333925
7.0,9.73893166,-34.527493286908715
8.0,10.738931660000002,-34.521064027633024
9.0,11.73893166,-34.51687289374437
10.0,12.73893166,-34.51407400230296
