       Step     Time          Energy          fmax
LBFGS:    0 14:55:11      -35.541327        1.990531
LBFGS:    1 14:55:12      -35.445711        5.557846
LBFGS:    2 14:55:12      -35.560371        0.166319
LBFGS:    3 14:55:13      -35.563697        0.151153
LBFGS:    4 14:55:13      -35.575467        0.342604
LBFGS:    5 14:55:14      -35.576975        0.124698
LBFGS:    6 14:55:14      -35.577823        0.077821
LBFGS:    7 14:55:15      -35.578118        0.064767
LBFGS:    8 14:55:15      -35.578784        0.142251
LBFGS:    9 14:55:15      -35.579832        0.268823
LBFGS:   10 14:55:16      -35.581291        0.303622
LBFGS:   11 14:55:16      -35.582198        0.179269
LBFGS:   12 14:55:17      -35.582409        0.070198
LBFGS:   13 14:55:17      -35.582449        0.028695
LBFGS:   14 14:55:18      -35.582459        0.011330
LBFGS:   15 14:55:18      -35.582478        0.012862
LBFGS:   16 14:55:19      -35.582510        0.020382
LBFGS:   17 14:55:19      -35.582532        0.015238
LBFGS:   18 14:55:19      -35.582520        0.004606
