       Step     Time          Energy          fmax
LBFGS:    0 14:53:22      -33.755768        1.262322
LBFGS:    1 14:53:23      -33.742420        2.449078
LBFGS:    2 14:53:23      -33.767738        0.214383
LBFGS:    3 14:53:23      -33.772118        0.183180
LBFGS:    4 14:53:23      -33.784378        0.512237
LBFGS:    5 14:53:23      -33.790054        0.301721
LBFGS:    6 14:53:23      -33.791519        0.097285
LBFGS:    7 14:53:23      -33.792557        0.093853
LBFGS:    8 14:53:23      -33.793877        0.233287
LBFGS:    9 14:53:23      -33.796291        0.385654
LBFGS:   10 14:53:23      -33.800285        0.447829
LBFGS:   11 14:53:23      -33.804485        0.318192
LBFGS:   12 14:53:23      -33.806313        0.153643
LBFGS:   13 14:53:23      -33.806534        0.116726
LBFGS:   14 14:53:24      -33.806664        0.014856
LBFGS:   15 14:53:24      -33.806679        0.012513
LBFGS:   16 14:53:24      -33.806751        0.029285
LBFGS:   17 14:53:24      -33.806831        0.040010
LBFGS:   18 14:53:24      -33.806976        0.042783
LBFGS:   19 14:53:24      -33.807098        0.027488
LBFGS:   20 14:53:24      -33.807152        0.016978
LBFGS:   21 14:53:24      -33.807190        0.018642
LBFGS:   22 14:53:24      -33.807262        0.036154
LBFGS:   23 14:53:24      -33.807442        0.069296
LBFGS:   24 14:53:24      -33.807861        0.114053
LBFGS:   25 14:53:24      -33.808693        0.155268
LBFGS:   26 14:53:24      -33.809830        0.145667
LBFGS:   27 14:53:24      -33.810478        0.066237
LBFGS:   28 14:53:24      -33.810638        0.012221
LBFGS:   29 14:53:24      -33.810677        0.003039
