# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.18717850E-09     -0.71540403E-09     -0.38842909E-06     -0.42479224E-03
       2     -0.33988942E-09     -0.71540403E-09     -0.78232244E-06     -0.42479224E-03
       3     -0.37902329E-09     -0.71540403E-09     -0.11258039E-05     -0.42479224E-03
       4     -0.40202291E-09     -0.71540403E-09     -0.14623291E-05     -0.42479224E-03
       5     -0.42568461E-09     -0.71540403E-09     -0.17950583E-05     -0.42479224E-03
       6     -0.45682684E-09     -0.71540403E-09     -0.21290337E-05     -0.42479224E-03
       7     -0.47685743E-09     -0.71540403E-09     -0.24576831E-05     -0.42479224E-03
       8     -0.48574053E-09     -0.71540403E-09     -0.27818898E-05     -0.42479224E-03
       9     -0.49308409E-09     -0.71540403E-09     -0.31104661E-05     -0.42479224E-03
      10     -0.50121824E-09     -0.71540403E-09     -0.34072495E-05     -0.42479224E-03
      11     -0.51003367E-09     -0.71540403E-09     -0.36963726E-05     -0.42479224E-03
      12     -0.51772073E-09     -0.71540403E-09     -0.39516428E-05     -0.42479224E-03
      13     -0.52658684E-09     -0.71540403E-09     -0.42264689E-05     -0.42479224E-03
      14     -0.53828445E-09     -0.71540403E-09     -0.45066203E-05     -0.42479224E-03
      15     -0.54778702E-09     -0.71540403E-09     -0.47804816E-05     -0.42479224E-03
      16     -0.55400235E-09     -0.71540403E-09     -0.50868736E-05     -0.42479224E-03
      17     -0.55947643E-09     -0.71540403E-09     -0.53845201E-05     -0.42479224E-03
      18     -0.56371401E-09     -0.71540403E-09     -0.56574880E-05     -0.42479224E-03
      19     -0.57005859E-09     -0.71540403E-09     -0.59243498E-05     -0.42479224E-03
      20     -0.57380071E-09     -0.71540403E-09     -0.62046936E-05     -0.42479224E-03
      21     -0.57904983E-09     -0.71540403E-09     -0.64798096E-05     -0.42479224E-03
      22     -0.58632978E-09     -0.71540403E-09     -0.67448265E-05     -0.42479224E-03
      23     -0.59195636E-09     -0.71540403E-09     -0.70196713E-05     -0.42479224E-03
      24     -0.59623472E-09     -0.71540403E-09     -0.72830560E-05     -0.42479224E-03
      25     -0.60102345E-09     -0.71540403E-09     -0.75697054E-05     -0.42479224E-03
      26     -0.60394659E-09     -0.71540403E-09     -0.78622595E-05     -0.42479224E-03
      27     -0.60621753E-09     -0.71540403E-09     -0.81443412E-05     -0.42479224E-03
      28     -0.60863411E-09     -0.71540403E-09     -0.84274776E-05     -0.42479224E-03
      29     -0.61145199E-09     -0.71540403E-09     -0.86941694E-05     -0.42479224E-03
      30     -0.61482513E-09     -0.71540403E-09     -0.90001695E-05     -0.42479224E-03
      31     -0.61881431E-09     -0.71540403E-09     -0.92652764E-05     -0.42479224E-03
      32     -0.62255128E-09     -0.71540403E-09     -0.95290273E-05     -0.42479224E-03
      33     -0.62306067E-09     -0.71540403E-09     -0.97853978E-05     -0.42479224E-03
      34     -0.62325280E-09     -0.71540403E-09     -0.10034431E-04     -0.42479224E-03
      35     -0.62367591E-09     -0.71540403E-09     -0.10305869E-04     -0.42479224E-03
      36     -0.62527879E-09     -0.71540403E-09     -0.10589641E-04     -0.42479224E-03
      37     -0.62671501E-09     -0.71540403E-09     -0.10868684E-04     -0.42479224E-03
      38     -0.62701523E-09     -0.71540403E-09     -0.11126706E-04     -0.42479224E-03
      39     -0.62727253E-09     -0.71540403E-09     -0.11375208E-04     -0.42479224E-03
      40     -0.62822573E-09     -0.71540403E-09     -0.11649798E-04     -0.42479224E-03
      41     -0.62970921E-09     -0.71540403E-09     -0.11926805E-04     -0.42479224E-03
      42     -0.63051536E-09     -0.71540403E-09     -0.12187228E-04     -0.42479224E-03
      43     -0.63153016E-09     -0.71540403E-09     -0.12458872E-04     -0.42479224E-03
      44     -0.63292030E-09     -0.71540403E-09     -0.12735697E-04     -0.42479224E-03
      45     -0.63440407E-09     -0.71540403E-09     -0.13011701E-04     -0.42479224E-03
      46     -0.63633907E-09     -0.71540403E-09     -0.13290134E-04     -0.42479224E-03
      47     -0.63698363E-09     -0.71540403E-09     -0.13556821E-04     -0.42479224E-03
      48     -0.63708777E-09     -0.71540403E-09     -0.13817199E-04     -0.42479224E-03
      49     -0.63715884E-09     -0.71540403E-09     -0.14069839E-04     -0.42479224E-03
      50     -0.63727373E-09     -0.71540403E-09     -0.14322644E-04     -0.42479224E-03
      51     -0.63802189E-09     -0.71540403E-09     -0.14568614E-04     -0.42479224E-03
      52     -0.63889437E-09     -0.71540403E-09     -0.14865298E-04     -0.42479224E-03
      53     -0.63975368E-09     -0.71540403E-09     -0.15144325E-04     -0.42479224E-03
      54     -0.64102675E-09     -0.71540403E-09     -0.15426144E-04     -0.42479224E-03
      55     -0.64239106E-09     -0.71540403E-09     -0.15720922E-04     -0.42479224E-03
      56     -0.64349279E-09     -0.71540403E-09     -0.16010828E-04     -0.42479224E-03
      57     -0.64444156E-09     -0.71540403E-09     -0.16309784E-04     -0.42479224E-03
