# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     714     0.00000     0.00000     0.00000   -4.564529946   -5.186002642   -0.621472696
     1     714     0.00000     0.00000     0.00137   -4.565261150   -5.186573270   -0.621312120
     1     714     0.00000     0.00000     0.00274   -4.567180203   -5.188190271   -0.621010068
     1     714     0.00000     0.00000     0.00411   -4.569825825   -5.190575156   -0.620749331
     1     714     0.00000     0.00000     0.00548   -4.572916335   -5.193464775   -0.620548440
     1     714     0.00000     0.00000     0.00685   -4.576288128   -5.196603562   -0.620315435
     1     714     0.00000     0.00000     0.00822   -4.579731711   -5.198852928   -0.619121217
     1     714     0.00000     0.00000     0.00959   -4.580878175   -5.185379122   -0.604500947
     1     714     0.00000     0.00000     0.01096   -4.578138260   -5.178847070   -0.600708810
     1     714     0.00000     0.00000     0.01233   -4.575048878   -5.175444437   -0.600395559
     1     714     0.00000     0.00000     0.01370   -4.572026699   -5.172333986   -0.600307287
     1     714     0.00000     0.00000     0.01507   -4.569180259   -5.169431423   -0.600251164
     1     714     0.00000     0.00000     0.01644   -4.566562017   -5.166805604   -0.600243587
     1     714     0.00000     0.00000     0.01781   -4.564214391   -5.164535348   -0.600320957
     1     714     0.00000     0.00000     0.01918   -4.562164538   -5.162669880   -0.600505343
     1     714     0.00000     0.00000     0.02055   -4.560409684   -5.161194779   -0.600785096
     1     714     0.00000     0.00000     0.02192   -4.558935408   -5.160056867   -0.601121458
     1     714     0.00000     0.00000     0.02329   -4.557715302   -5.159176307   -0.601461005
     1     714     0.00000     0.00000     0.02466   -4.556707925   -5.158450294   -0.601742369
     1     714     0.00000     0.00000     0.02603   -4.555858691   -5.157754432   -0.601895741
     1     714     0.00000     0.00000     0.02740   -4.555085356   -5.156911265   -0.601825909
     1     714     0.00000     0.00000     0.02877   -4.554267483   -5.155573076   -0.601305593
     1     714     0.00000     0.00000     0.03014   -4.553111125   -5.152522544   -0.599411419
     1     714     0.00000     0.00000     0.03151   -4.550328757   -5.142326919   -0.591998162
     1     714     0.00000     0.00000     0.03288   -4.541670855   -5.125600756   -0.583929901
     1     714     0.00000     0.00000     0.03425   -4.529016125   -5.111776188   -0.582760063
     1     714     0.00000     0.00000     0.03562   -4.522917331   -5.124087568   -0.601170237
     1     714     0.00000     0.00000     0.03699   -4.525126034   -5.125882249   -0.600756215
     1     714     0.00000     0.00000     0.03836   -4.526879490   -5.126326522   -0.599447033
     1     714     0.00000     0.00000     0.03973   -4.522800857   -5.118808046   -0.596007189
     1     714     0.00000     0.00000     0.04110   -4.512011104   -5.105638439   -0.593627335
     1     715     0.00000     0.00000     0.00000   -4.551601643   -5.169586742   -0.617985099
     1     715     0.00000     0.00000     0.00137   -4.551015088   -5.169152508   -0.618137421
     1     715     0.00000     0.00000     0.00274   -4.549554360   -5.167968906   -0.618414547
     1     715     0.00000     0.00000     0.00411   -4.547664172   -5.166294211   -0.618630039
     1     715     0.00000     0.00000     0.00548   -4.545607369   -5.164337887   -0.618730518
     1     715     0.00000     0.00000     0.00685   -4.543501792   -5.162171379   -0.618669587
     1     715     0.00000     0.00000     0.00822   -4.541398007   -5.159784753   -0.618386746
     1     715     0.00000     0.00000     0.00959   -4.539307092   -5.157140663   -0.617833572
     1     715     0.00000     0.00000     0.01096   -4.537230016   -5.154219483   -0.616989467
     1     715     0.00000     0.00000     0.01233   -4.535146736   -5.151011559   -0.615864823
     1     715     0.00000     0.00000     0.01370   -4.533044780   -5.147544082   -0.614499302
     1     715     0.00000     0.00000     0.01507   -4.530919027   -5.143871090   -0.612952063
     1     715     0.00000     0.00000     0.01644   -4.528754899   -5.140054939   -0.611300040
     1     715     0.00000     0.00000     0.01781   -4.526562643   -5.136190587   -0.609627944
     1     715     0.00000     0.00000     0.01918   -4.524375652   -5.132395239   -0.608019587
