
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02252
    c    v      wtot      wmax     ikmax
    1    1   0.49334   0.16026         8
    1    2   0.19191   0.06012         1
    1    3   0.01865   0.01102         3
    1    4   0.00431   0.00117         3
    1    5   0.00184   0.00072         4
    1    6   0.00027   0.00009         4
    1    7   0.00018   0.00007         7
    1    8   0.00019   0.00006         8
    1    9   0.00019   0.00007         7
    1   10   0.00014   0.00007         5
    1   11   0.00003   0.00001         7
    1   12   0.00022   0.00007         4
    2    1   0.11803   0.04392         1
    2    2   0.05721   0.03691         2
    2    3   0.00867   0.00666         4
    2    4   0.00132   0.00058         5
    2    5   0.00034   0.00019         8
    2    6   0.00018   0.00014         7
    2    7   0.00003   0.00002         7
    2    8   0.00011   0.00005         8
    2    9   0.00021   0.00008         6
    2   10   0.00003   0.00001         6
    2   11   0.00001   0.00000         2
    2   12   0.00002   0.00001         2
    3    1   0.01434   0.00554         4
    3    2   0.02303   0.02207         4
    3    3   0.02406   0.02140         3
    3    4   0.00649   0.00285         5
    3    5   0.00075   0.00021         8
    3    6   0.00019   0.00008         3
    3    7   0.00012   0.00008         7
    3    8   0.00018   0.00006         8
    3    9   0.00013   0.00006         7
    3   10   0.00004   0.00001         8
    3   11   0.00002   0.00001         2
    3   12   0.00005   0.00002         3
    4    1   0.00180   0.00094         3
    4    2   0.00262   0.00116         5
    4    3   0.00964   0.00383         3
    4    4   0.00574   0.00428         6
    4    5   0.00039   0.00015         3
    4    6   0.00016   0.00010         7
    4    7   0.00007   0.00004         7
    4    8   0.00004   0.00002         6
    4    9   0.00011   0.00004         5
    4   10   0.00006   0.00002         5
    4   11   0.00002   0.00001         2
    4   12   0.00005   0.00002         4
    5    1   0.00120   0.00051         4
    5    2   0.00210   0.00166         4
    5    3   0.00111   0.00086         3
    5    4   0.00073   0.00020         3
    5    5   0.00125   0.00072         7
    5    6   0.00013   0.00007         7
    5    7   0.00005   0.00003         7
    5    8   0.00007   0.00003         8
    5    9   0.00002   0.00001         4
    5   10   0.00009   0.00004         5
    5   11   0.00002   0.00001         2
    5   12   0.00005   0.00002         3
    6    1   0.00011   0.00007         2
    6    2   0.00010   0.00004         7
    6    3   0.00010   0.00004         3
    6    4   0.00021   0.00013         8
    6    5   0.00006   0.00003         7
    6    6   0.00018   0.00003         1
    6    7   0.00045   0.00038         8
    6    8   0.00002   0.00001         7
    6    9   0.00002   0.00001         7
    6   10   0.00002   0.00001         8
    6   11   0.00000   0.00000         7
    6   12   0.00001   0.00000         3
    7    1   0.00007   0.00003         8
    7    2   0.00006   0.00004         4
    7    3   0.00012   0.00007         8
    7    4   0.00017   0.00009         8
    7    5   0.00008   0.00007         8
    7    6   0.00003   0.00001         2
    7    7   0.00019   0.00009         8
    7    8   0.00007   0.00002         8
    7    9   0.00006   0.00006         1
    7   10   0.00002   0.00001         5
    7   11   0.00000   0.00000         2
    7   12   0.00002   0.00001         2
    8    1   0.00007   0.00004         7
    8    2   0.00005   0.00001         7
    8    3   0.00008   0.00003         7
    8    4   0.00024   0.00013         7
    8    5   0.00009   0.00003         8
    8    6   0.00017   0.00014         7
    8    7   0.00008   0.00004         7
    8    8   0.00007   0.00003         7
    8    9   0.00018   0.00013         1
    8   10   0.00004   0.00001         7
    8   11   0.00000   0.00000         7
    8   12   0.00002   0.00000         1
    9    1   0.00006   0.00003         1
    9    2   0.00008   0.00003         7
    9    3   0.00016   0.00004         7
    9    4   0.00026   0.00008         7
    9    5   0.00011   0.00003         6
    9    6   0.00014   0.00010         7
    9    7   0.00016   0.00010         1
    9    8   0.00007   0.00003         1
    9    9   0.00006   0.00004         1
    9   10   0.00007   0.00003         1
    9   11   0.00001   0.00000         3
    9   12   0.00003   0.00001         5
   10    1   0.00004   0.00002         5
   10    2   0.00003   0.00001         8
   10    3   0.00003   0.00001         1
   10    4   0.00005   0.00002         2
   10    5   0.00008   0.00004         5
   10    6   0.00001   0.00001         4
   10    7   0.00002   0.00001         5
   10    8   0.00003   0.00003         5
