# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.15167166E-09     -0.71468313E-09     -0.34439237E-06     -0.42455096E-03
       2     -0.29611717E-09     -0.71468313E-09     -0.73529503E-06     -0.42455096E-03
       3     -0.37131244E-09     -0.71468313E-09     -0.11050178E-05     -0.42455096E-03
       4     -0.39546146E-09     -0.71468313E-09     -0.14398596E-05     -0.42455096E-03
       5     -0.42026651E-09     -0.71468313E-09     -0.17789611E-05     -0.42455096E-03
       6     -0.45304794E-09     -0.71468313E-09     -0.21156359E-05     -0.42455096E-03
       7     -0.47758983E-09     -0.71468313E-09     -0.24574476E-05     -0.42455096E-03
       8     -0.48808295E-09     -0.71468313E-09     -0.27892777E-05     -0.42455096E-03
       9     -0.49209809E-09     -0.71468313E-09     -0.30965751E-05     -0.42455096E-03
      10     -0.50029199E-09     -0.71468313E-09     -0.33937380E-05     -0.42455096E-03
      11     -0.51090618E-09     -0.71468313E-09     -0.37037076E-05     -0.42455096E-03
      12     -0.51871431E-09     -0.71468313E-09     -0.39614320E-05     -0.42455096E-03
      13     -0.52774891E-09     -0.71468313E-09     -0.42327327E-05     -0.42455096E-03
      14     -0.53902147E-09     -0.71468313E-09     -0.45088815E-05     -0.42455096E-03
      15     -0.54881122E-09     -0.71468313E-09     -0.47794916E-05     -0.42455096E-03
      16     -0.55440644E-09     -0.71468313E-09     -0.50865241E-05     -0.42455096E-03
      17     -0.55970613E-09     -0.71468313E-09     -0.53657796E-05     -0.42455096E-03
      18     -0.56510237E-09     -0.71468313E-09     -0.56516248E-05     -0.42455096E-03
      19     -0.56825985E-09     -0.71468313E-09     -0.59352414E-05     -0.42455096E-03
      20     -0.57413690E-09     -0.71468313E-09     -0.62030369E-05     -0.42455096E-03
      21     -0.58047619E-09     -0.71468313E-09     -0.64701821E-05     -0.42455096E-03
      22     -0.58712864E-09     -0.71468313E-09     -0.67571979E-05     -0.42455096E-03
      23     -0.59211041E-09     -0.71468313E-09     -0.70329671E-05     -0.42455096E-03
      24     -0.59648183E-09     -0.71468313E-09     -0.72987111E-05     -0.42455096E-03
      25     -0.60061587E-09     -0.71468313E-09     -0.75969623E-05     -0.42455096E-03
      26     -0.60348120E-09     -0.71468313E-09     -0.78818516E-05     -0.42455096E-03
      27     -0.60670463E-09     -0.71468313E-09     -0.81741100E-05     -0.42455096E-03
      28     -0.60866332E-09     -0.71468313E-09     -0.84377506E-05     -0.42455096E-03
      29     -0.61188175E-09     -0.71468313E-09     -0.87251030E-05     -0.42455096E-03
      30     -0.61405990E-09     -0.71468313E-09     -0.90018377E-05     -0.42455096E-03
      31     -0.61632858E-09     -0.71468313E-09     -0.92627300E-05     -0.42455096E-03
      32     -0.61968644E-09     -0.71468313E-09     -0.95246862E-05     -0.42455096E-03
      33     -0.62125063E-09     -0.71468313E-09     -0.97806765E-05     -0.42455096E-03
      34     -0.62172295E-09     -0.71468313E-09     -0.10020998E-04     -0.42455096E-03
      35     -0.62298622E-09     -0.71468313E-09     -0.10310361E-04     -0.42455096E-03
      36     -0.62380100E-09     -0.71468313E-09     -0.10598378E-04     -0.42455096E-03
      37     -0.62550272E-09     -0.71468313E-09     -0.10871037E-04     -0.42455096E-03
      38     -0.62693314E-09     -0.71468313E-09     -0.11149947E-04     -0.42455096E-03
      39     -0.62702616E-09     -0.71468313E-09     -0.11389310E-04     -0.42455096E-03
      40     -0.62718764E-09     -0.71468313E-09     -0.11641295E-04     -0.42455096E-03
      41     -0.62894949E-09     -0.71468313E-09     -0.11925521E-04     -0.42455096E-03
      42     -0.63075349E-09     -0.71468313E-09     -0.12203577E-04     -0.42455096E-03
      43     -0.63164789E-09     -0.71468313E-09     -0.12475498E-04     -0.42455096E-03
      44     -0.63254403E-09     -0.71468313E-09     -0.12743578E-04     -0.42455096E-03
      45     -0.63393580E-09     -0.71468313E-09     -0.13016452E-04     -0.42455096E-03
      46     -0.63499725E-09     -0.71468313E-09     -0.13290580E-04     -0.42455096E-03
      47     -0.63543162E-09     -0.71468313E-09     -0.13560352E-04     -0.42455096E-03
      48     -0.63555232E-09     -0.71468313E-09     -0.13814537E-04     -0.42455096E-03
      49     -0.63562767E-09     -0.71468313E-09     -0.14065386E-04     -0.42455096E-03
      50     -0.63654646E-09     -0.71468313E-09     -0.14343651E-04     -0.42455096E-03
      51     -0.63731376E-09     -0.71468313E-09     -0.14603782E-04     -0.42455096E-03
      52     -0.63780287E-09     -0.71468313E-09     -0.14856726E-04     -0.42455096E-03
      53     -0.63870706E-09     -0.71468313E-09     -0.15125252E-04     -0.42455096E-03
      54     -0.64005380E-09     -0.71468313E-09     -0.15416334E-04     -0.42455096E-03
      55     -0.64117724E-09     -0.71468313E-09     -0.15696811E-04     -0.42455096E-03
      56     -0.64231882E-09     -0.71468313E-09     -0.15985016E-04     -0.42455096E-03
      57     -0.64332842E-09     -0.71468313E-09     -0.16279817E-04     -0.42455096E-03
      58     -0.64426090E-09     -0.71468313E-09     -0.16559433E-04     -0.42455096E-03
      59     -0.64492492E-09     -0.71468313E-09     -0.16833463E-04     -0.42455096E-03
      60     -0.64557702E-09     -0.71468313E-09     -0.17097446E-04     -0.42455096E-03
      61     -0.64610158E-09     -0.71468313E-09     -0.17385926E-04     -0.42455096E-03
      62     -0.64646068E-09     -0.71468313E-09     -0.17659727E-04     -0.42455096E-03
      63     -0.64696686E-09     -0.71468313E-09     -0.17951106E-04     -0.42455096E-03
      64     -0.64746451E-09     -0.71468313E-09     -0.18233181E-04     -0.42455096E-03
      65     -0.64797884E-09     -0.71468313E-09     -0.18520310E-04     -0.42455096E-03
      66     -0.64854011E-09     -0.71468313E-09     -0.18815491E-04     -0.42455096E-03
      67     -0.64901209E-09     -0.71468313E-09     -0.19085242E-04     -0.42455096E-03
      68     -0.64932746E-09     -0.71468313E-09     -0.19372672E-04     -0.42455096E-03
      69     -0.64958193E-09     -0.71468313E-09     -0.19653097E-04     -0.42455096E-03
      70     -0.64981858E-09     -0.71468313E-09     -0.19938331E-04     -0.42455096E-03
      71     -0.65001951E-09     -0.71468313E-09     -0.20212923E-04     -0.42455096E-03
      72     -0.65025160E-09     -0.71468313E-09     -0.20495597E-04     -0.42455096E-03
      73     -0.65053988E-09     -0.71468313E-09     -0.20804943E-04     -0.42455096E-03
      74     -0.65080773E-09     -0.71468313E-09     -0.21106391E-04     -0.42455096E-03
      75     -0.65097314E-09     -0.71468313E-09     -0.21384244E-04     -0.42455096E-03
      76     -0.65098899E-09     -0.71468313E-09     -0.21425843E-04     -0.42455096E-03
      77     -0.65107442E-09     -0.71468313E-09     -0.21636659E-04     -0.42455096E-03
      78     -0.65108178E-09     -0.71468313E-09     -0.21652821E-04     -0.42455096E-03
      79     -0.65114098E-09     -0.71468313E-09     -0.21797926E-04     -0.42455096E-03
      80     -0.65130640E-09     -0.71468313E-09     -0.22078121E-04     -0.42455096E-03
      81     -0.65149483E-09     -0.71468313E-09     -0.22370839E-04     -0.42455096E-03
      82     -0.65160477E-09     -0.71468313E-09     -0.22662864E-04     -0.42455096E-03
      83     -0.65169450E-09     -0.71468313E-09     -0.22938292E-04     -0.42455096E-03
      84     -0.65179812E-09     -0.71468313E-09     -0.23221421E-04     -0.42455096E-03
      85     -0.65187391E-09     -0.71468313E-09     -0.23380891E-04     -0.42455096E-03
      86     -0.65193631E-09     -0.71468313E-09     -0.23527543E-04     -0.42455096E-03
      87     -0.65200057E-09     -0.71468313E-09     -0.23666187E-04     -0.42455096E-03
