
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.02651
    c    v      wtot      wmax     ikmax
    1    1   0.74896   0.17013         8
    1    2   0.03148   0.02071         2
    1    3   0.08492   0.01703         4
    1    4   0.00472   0.00212         3
    1    5   0.01452   0.00601         5
    1    6   0.00094   0.00044         3
    1    7   0.00084   0.00039         7
    1    8   0.00173   0.00041         5
    1    9   0.00048   0.00014         7
    1   10   0.00087   0.00029         6
    1   11   0.00034   0.00015         5
    1   12   0.00015   0.00004         5
    2    1   0.02002   0.00686         6
    2    2   0.00122   0.00035         8
    2    3   0.00090   0.00038         6
    2    4   0.00706   0.00251         3
    2    5   0.00218   0.00084         5
    2    6   0.00039   0.00014         1
    2    7   0.00023   0.00011         7
    2    8   0.00046   0.00013         8
    2    9   0.00041   0.00013         3
    2   10   0.00013   0.00004         4
    2   11   0.00008   0.00004         1
    2   12   0.00005   0.00002         5
    3    1   0.00743   0.00218         1
    3    2   0.01065   0.00709         5
    3    3   0.00427   0.00188         4
    3    4   0.00818   0.00204         5
    3    5   0.00267   0.00088         2
    3    6   0.00046   0.00017         3
    3    7   0.00064   0.00040         7
    3    8   0.00108   0.00060         1
    3    9   0.00048   0.00016         2
    3   10   0.00102   0.00030         2
    3   11   0.00043   0.00024         2
    3   12   0.00014   0.00005         7
    4    1   0.00149   0.00062         4
    4    2   0.01002   0.00294         4
    4    3   0.00845   0.00319         3
    4    4   0.00266   0.00239         3
    4    5   0.00296   0.00116         6
    4    6   0.00024   0.00007         5
    4    7   0.00004   0.00003         8
    4    8   0.00021   0.00010         8
    4    9   0.00023   0.00011         6
    4   10   0.00024   0.00006         3
    4   11   0.00003   0.00001         7
    4   12   0.00006   0.00003         6
    5    1   0.00007   0.00002         6
    5    2   0.00117   0.00062         1
    5    3   0.00088   0.00045         3
    5    4   0.00024   0.00015         3
    5    5   0.00095   0.00025         6
    5    6   0.00029   0.00011         1
    5    7   0.00008   0.00004         5
    5    8   0.00050   0.00021         5
    5    9   0.00018   0.00013         1
    5   10   0.00006   0.00002         3
    5   11   0.00002   0.00001         2
    5   12   0.00012   0.00005         5
    6    1   0.00025   0.00011         2
    6    2   0.00061   0.00028         2
    6    3   0.00087   0.00044         2
    6    4   0.00010   0.00003         3
    6    5   0.00027   0.00011         8
    6    6   0.00022   0.00008         2
    6    7   0.00003   0.00001         2
    6    8   0.00007   0.00004         8
    6    9   0.00004   0.00001         3
    6   10   0.00003   0.00001         5
    6   11   0.00010   0.00008         2
    6   12   0.00007   0.00005         2
    7    1   0.00024   0.00013         2
    7    2   0.00013   0.00003         7
    7    3   0.00046   0.00017         2
    7    4   0.00006   0.00003         1
    7    5   0.00002   0.00001         5
    7    6   0.00003   0.00001         7
    7    7   0.00021   0.00007         5
    7    8   0.00016   0.00004         7
    7    9   0.00005   0.00002         8
    7   10   0.00003   0.00001         1
    7   11   0.00001   0.00001         2
    7   12   0.00002   0.00001         2
    8    1   0.00025   0.00012         7
    8    2   0.00007   0.00003         4
    8    3   0.00040   0.00024         7
    8    4   0.00053   0.00016         4
    8    5   0.00010   0.00003         8
    8    6   0.00003   0.00001         7
    8    7   0.00011   0.00004         7
    8    8   0.00006   0.00002         7
    8    9   0.00007   0.00003         7
    8   10   0.00003   0.00001         1
    8   11   0.00001   0.00000         3
    8   12   0.00001   0.00000         1
    9    1   0.00028   0.00009         2
    9    2   0.00006   0.00002         4
    9    3   0.00021   0.00016         5
    9    4   0.00001   0.00000         4
    9    5   0.00033   0.00009         2
    9    6   0.00009   0.00002         6
    9    7   0.00013   0.00008         7
    9    8   0.00007   0.00004         6
    9    9   0.00008   0.00003         1
    9   10   0.00001   0.00000         2
    9   11   0.00002   0.00001         2
    9   12   0.00003   0.00001         2
   10    1   0.00003   0.00001         6
   10    2   0.00004   0.00003         5
   10    3   0.00012   0.00003         2
   10    4   0.00009   0.00004         5
   10    5   0.00011   0.00004         1
