# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.26126632E-09     -0.84192277E-09     -0.37260762E-06     -0.42490886E-03
       2     -0.42905055E-09     -0.84192277E-09     -0.76863531E-06     -0.42490886E-03
       3     -0.49968362E-09     -0.84192277E-09     -0.11324610E-05     -0.42490886E-03
       4     -0.52479024E-09     -0.84192277E-09     -0.14731392E-05     -0.42490886E-03
       5     -0.54602684E-09     -0.84192277E-09     -0.17814329E-05     -0.42490886E-03
       6     -0.57668534E-09     -0.84192277E-09     -0.21237075E-05     -0.42490886E-03
       7     -0.60451789E-09     -0.84192277E-09     -0.24591663E-05     -0.42490886E-03
       8     -0.61377991E-09     -0.84192277E-09     -0.27919604E-05     -0.42490886E-03
       9     -0.62421281E-09     -0.84192277E-09     -0.31145294E-05     -0.42490886E-03
      10     -0.63227405E-09     -0.84192277E-09     -0.34132769E-05     -0.42490886E-03
      11     -0.63912067E-09     -0.84192277E-09     -0.37163808E-05     -0.42490886E-03
      12     -0.64688359E-09     -0.84192277E-09     -0.39753874E-05     -0.42490886E-03
      13     -0.65585911E-09     -0.84192277E-09     -0.42453153E-05     -0.42490886E-03
      14     -0.66752650E-09     -0.84192277E-09     -0.45227988E-05     -0.42490886E-03
      15     -0.67477449E-09     -0.84192277E-09     -0.47960401E-05     -0.42490886E-03
      16     -0.68077501E-09     -0.84192277E-09     -0.51071852E-05     -0.42490886E-03
      17     -0.68621474E-09     -0.84192277E-09     -0.54154274E-05     -0.42490886E-03
      18     -0.69060579E-09     -0.84192277E-09     -0.56910653E-05     -0.42490886E-03
      19     -0.69691639E-09     -0.84192277E-09     -0.59718178E-05     -0.42490886E-03
      20     -0.70119586E-09     -0.84192277E-09     -0.62471717E-05     -0.42490886E-03
      21     -0.70866386E-09     -0.84192277E-09     -0.65070560E-05     -0.42490886E-03
      22     -0.71553435E-09     -0.84192277E-09     -0.67802208E-05     -0.42490886E-03
      23     -0.71872338E-09     -0.84192277E-09     -0.70666132E-05     -0.42490886E-03
      24     -0.72313199E-09     -0.84192277E-09     -0.73322046E-05     -0.42490886E-03
      25     -0.72724814E-09     -0.84192277E-09     -0.76296632E-05     -0.42490886E-03
      26     -0.73056465E-09     -0.84192277E-09     -0.79123686E-05     -0.42490886E-03
      27     -0.73274227E-09     -0.84192277E-09     -0.81768557E-05     -0.42490886E-03
      28     -0.73525564E-09     -0.84192277E-09     -0.84847469E-05     -0.42490886E-03
      29     -0.73865943E-09     -0.84192277E-09     -0.87614493E-05     -0.42490886E-03
      30     -0.74110597E-09     -0.84192277E-09     -0.90517272E-05     -0.42490886E-03
      31     -0.74572331E-09     -0.84192277E-09     -0.93170152E-05     -0.42490886E-03
      32     -0.74787421E-09     -0.84192277E-09     -0.95681375E-05     -0.42490886E-03
      33     -0.74864144E-09     -0.84192277E-09     -0.98169326E-05     -0.42490886E-03
      34     -0.74895154E-09     -0.84192277E-09     -0.10090212E-04     -0.42490886E-03
      35     -0.74961676E-09     -0.84192277E-09     -0.10368492E-04     -0.42490886E-03
      36     -0.75140484E-09     -0.84192277E-09     -0.10654802E-04     -0.42490886E-03
      37     -0.75294314E-09     -0.84192277E-09     -0.10939806E-04     -0.42490886E-03
      38     -0.75386434E-09     -0.84192277E-09     -0.11192484E-04     -0.42490886E-03
      39     -0.75424672E-09     -0.84192277E-09     -0.11440074E-04     -0.42490886E-03
      40     -0.75435531E-09     -0.84192277E-09     -0.11692371E-04     -0.42490886E-03
      41     -0.75586165E-09     -0.84192277E-09     -0.11975721E-04     -0.42490886E-03
      42     -0.75758187E-09     -0.84192277E-09     -0.12250803E-04     -0.42490886E-03
      43     -0.75862846E-09     -0.84192277E-09     -0.12518488E-04     -0.42490886E-03
      44     -0.75974232E-09     -0.84192277E-09     -0.12789089E-04     -0.42490886E-03
      45     -0.76070354E-09     -0.84192277E-09     -0.13071328E-04     -0.42490886E-03
      46     -0.76172564E-09     -0.84192277E-09     -0.13353785E-04     -0.42490886E-03
      47     -0.76275149E-09     -0.84192277E-09     -0.13607990E-04     -0.42490886E-03
      48     -0.76290818E-09     -0.84192277E-09     -0.13862997E-04     -0.42490886E-03
      49     -0.76303403E-09     -0.84192277E-09     -0.14114408E-04     -0.42490886E-03
      50     -0.76386416E-09     -0.84192277E-09     -0.14371859E-04     -0.42490886E-03
      51     -0.76480614E-09     -0.84192277E-09     -0.14667247E-04     -0.42490886E-03
      52     -0.76502439E-09     -0.84192277E-09     -0.14929173E-04     -0.42490886E-03
      53     -0.76589706E-09     -0.84192277E-09     -0.15203838E-04     -0.42490886E-03
      54     -0.76699421E-09     -0.84192277E-09     -0.15476220E-04     -0.42490886E-03
      55     -0.76838459E-09     -0.84192277E-09     -0.15771257E-04     -0.42490886E-03
      56     -0.76976814E-09     -0.84192277E-09     -0.16068047E-04     -0.42490886E-03
      57     -0.77075781E-09     -0.84192277E-09     -0.16336794E-04     -0.42490886E-03
      58     -0.77152489E-09     -0.84192277E-09     -0.16629891E-04     -0.42490886E-03
      59     -0.77224567E-09     -0.84192277E-09     -0.16903316E-04     -0.42490886E-03
      60     -0.77285625E-09     -0.84192277E-09     -0.17191235E-04     -0.42490886E-03
      61     -0.77337055E-09     -0.84192277E-09     -0.17461121E-04     -0.42490886E-03
      62     -0.77372042E-09     -0.84192277E-09     -0.17750032E-04     -0.42490886E-03
      63     -0.77413678E-09     -0.84192277E-09     -0.18022443E-04     -0.42490886E-03
      64     -0.77467851E-09     -0.84192277E-09     -0.18320803E-04     -0.42490886E-03
      65     -0.77528193E-09     -0.84192277E-09     -0.18617922E-04     -0.42490886E-03
      66     -0.77588367E-09     -0.84192277E-09     -0.18906220E-04     -0.42490886E-03
      67     -0.77626799E-09     -0.84192277E-09     -0.19175365E-04     -0.42490886E-03
      68     -0.77659477E-09     -0.84192277E-09     -0.19463344E-04     -0.42490886E-03
      69     -0.77683658E-09     -0.84192277E-09     -0.19742475E-04     -0.42490886E-03
