# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     714     0.00000     0.00000     0.00000   -4.571876216   -5.189602572   -0.617726356
     1     714     0.00000     0.00000     0.00137   -4.572783251   -5.190569368   -0.617786117
     1     714     0.00000     0.00000     0.00274   -4.575057415   -5.192944807   -0.617887391
     1     714     0.00000     0.00000     0.00411   -4.578070563   -5.196039513   -0.617968950
     1     714     0.00000     0.00000     0.00548   -4.581509701   -5.199529545   -0.618019844
     1     714     0.00000     0.00000     0.00685   -4.585231614   -5.203233747   -0.618002133
     1     714     0.00000     0.00000     0.00822   -4.589151888   -5.206760409   -0.617608521
     1     714     0.00000     0.00000     0.00959   -4.590839000   -5.200230649   -0.609391650
     1     714     0.00000     0.00000     0.01096   -4.585784085   -5.193507850   -0.607723765
     1     714     0.00000     0.00000     0.01233   -4.580673704   -5.187502801   -0.606829097
     1     714     0.00000     0.00000     0.01370   -4.575735143   -5.181704452   -0.605969309
     1     714     0.00000     0.00000     0.01507   -4.571062016   -5.176429006   -0.605366990
     1     714     0.00000     0.00000     0.01644   -4.566751488   -5.172032736   -0.605281248
     1     714     0.00000     0.00000     0.01781   -4.562920444   -5.168831579   -0.605911134
     1     714     0.00000     0.00000     0.01918   -4.559682180   -5.166982846   -0.607300666
     1     714     0.00000     0.00000     0.02055   -4.557103493   -5.166361130   -0.609257637
     1     714     0.00000     0.00000     0.02192   -4.555196911   -5.166642429   -0.611445517
     1     714     0.00000     0.00000     0.02329   -4.553931324   -5.167500009   -0.613568685
     1     714     0.00000     0.00000     0.02466   -4.553243365   -5.168714624   -0.615471260
     1     714     0.00000     0.00000     0.02603   -4.553059614   -5.170186619   -0.617127006
     1     714     0.00000     0.00000     0.02740   -4.553310203   -5.171889127   -0.618578923
     1     714     0.00000     0.00000     0.02877   -4.553951496   -5.173839973   -0.619888476
     1     714     0.00000     0.00000     0.03014   -4.554939165   -5.176038675   -0.621099510
     1     714     0.00000     0.00000     0.03151   -4.556228408   -5.178454545   -0.622226138
     1     714     0.00000     0.00000     0.03288   -4.557771326   -5.181020200   -0.623248874
     1     714     0.00000     0.00000     0.03425   -4.559482740   -5.183604480   -0.624121740
     1     714     0.00000     0.00000     0.03562   -4.556137305   -5.144794522   -0.588657218
     1     714     0.00000     0.00000     0.03699   -4.544248028   -5.135009100   -0.590761072
     1     714     0.00000     0.00000     0.03836   -4.537989012   -5.140369876   -0.602380864
     1     714     0.00000     0.00000     0.03973   -4.541308007   -5.147615764   -0.606307757
     1     714     0.00000     0.00000     0.04110   -4.544675002   -5.152098183   -0.607423181
     1     715     0.00000     0.00000     0.00000   -4.560097760   -5.178714547   -0.618616787
     1     715     0.00000     0.00000     0.00137   -4.559349457   -5.177908053   -0.618558595
     1     715     0.00000     0.00000     0.00274   -4.557574067   -5.176036563   -0.618462497
     1     715     0.00000     0.00000     0.00411   -4.555387808   -5.173777067   -0.618389260
     1     715     0.00000     0.00000     0.00548   -4.553092527   -5.171421721   -0.618329194
     1     715     0.00000     0.00000     0.00685   -4.550808549   -5.169048101   -0.618239552
     1     715     0.00000     0.00000     0.00822   -4.548585434   -5.166645453   -0.618060019
     1     715     0.00000     0.00000     0.00959   -4.546432383   -5.164156179   -0.617723796
     1     715     0.00000     0.00000     0.01096   -4.544344423   -5.161503072   -0.617158648
     1     715     0.00000     0.00000     0.01233   -4.542287379   -5.158568297   -0.616280917
     1     715     0.00000     0.00000     0.01370   -4.540219824   -5.155208510   -0.614988686
     1     715     0.00000     0.00000     0.01507   -4.538084935   -5.151240005   -0.613155070
     1     715     0.00000     0.00000     0.01644   -4.535785503   -5.146434456   -0.610648953
     1     715     0.00000     0.00000     0.01781   -4.533225247   -5.140620278   -0.607395031
     1     715     0.00000     0.00000     0.01918   -4.530313393   -5.133768439   -0.603455047
     1     715     0.00000     0.00000     0.02055   -4.526986554   -5.126074527   -0.599087973
     1     715     0.00000     0.00000     0.02192   -4.523248072   -5.117913188   -0.594665116
     1     715     0.00000     0.00000     0.02329   -4.519156002   -5.109670589   -0.590514587
     1     715     0.00000     0.00000     0.02466   -4.514806693   -5.101659097   -0.586852404
     1     715     0.00000     0.00000     0.02603   -4.510319636   -5.094120694   -0.583801059
     1     715     0.00000     0.00000     0.02740   -4.505838291   -5.087316758   -0.581478467
     1     715     0.00000     0.00000     0.02877   -4.501643969   -5.082094399   -0.580450431
     1     715     0.00000     0.00000     0.03014   -4.499418216   -5.089292859   -0.589874643
     1     715     0.00000     0.00000     0.03151   -4.503626395   -5.106209332   -0.602582937
     1     715     0.00000     0.00000     0.03288   -4.509707170   -5.114022732   -0.604315562
     1     715     0.00000     0.00000     0.03425   -4.515816186   -5.120604174   -0.604787988
     1     715     0.00000     0.00000     0.03562   -4.521656987   -5.126299491   -0.604642504
     1     715     0.00000     0.00000     0.03699   -4.526664459   -5.129497723   -0.602833264
     1     715     0.00000     0.00000     0.03836   -4.526107241   -5.118247704   -0.592140464
     1     715     0.00000     0.00000     0.03973   -4.517038320   -5.106595284   -0.589556964
     1     715     0.00000     0.00000     0.04110   -4.511575857   -5.101979732   -0.590403875
