
Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   0.83056
    c    v      wtot      wmax     ikmax
    1    1   0.22878   0.06598         8
    1    2   0.63628   0.14909         1
    1    3   0.02709   0.01601         3
    1    4   0.05465   0.01600         5
    1    5   0.00267   0.00109         3
    1    6   0.00049   0.00015         6
    1    7   0.00059   0.00025         3
    1    8   0.00117   0.00058         2
    1    9   0.00153   0.00085         1
    1   10   0.00107   0.00047         8
    1   11   0.00051   0.00027         7
    1   12   0.00066   0.00022         2
    2    1   0.01122   0.00201         1
    2    2   0.00100   0.00035         2
    2    3   0.00064   0.00042         5
    2    4   0.00174   0.00054         5
    2    5   0.00011   0.00006         2
    2    6   0.00006   0.00002         6
    2    7   0.00009   0.00004         4
    2    8   0.00009   0.00003         2
    2    9   0.00011   0.00006         1
    2   10   0.00012   0.00007         8
    2   11   0.00009   0.00004         7
    2   12   0.00003   0.00002         7
    3    1   0.00151   0.00052         4
    3    2   0.00177   0.00056         1
    3    3   0.01031   0.00540         3
    3    4   0.00335   0.00099         6
    3    5   0.00014   0.00005         3
    3    6   0.00008   0.00005         6
    3    7   0.00009   0.00003         7
    3    8   0.00011   0.00006         2
    3    9   0.00020   0.00014         1
    3   10   0.00013   0.00005         8
    3   11   0.00002   0.00001         7
    3   12   0.00008   0.00004         2
    4    1   0.00115   0.00042         3
    4    2   0.00230   0.00051         6
    4    3   0.00129   0.00069         5
    4    4   0.00044   0.00025         6
    4    5   0.00018   0.00005         1
    4    6   0.00003   0.00002         2
    4    7   0.00007   0.00003         1
    4    8   0.00004   0.00002         2
    4    9   0.00007   0.00005         1
    4   10   0.00008   0.00003         2
    4   11   0.00003   0.00002         5
    4   12   0.00003   0.00002         2
    5    1   0.00004   0.00001         5
    5    2   0.00038   0.00024         2
    5    3   0.00058   0.00042         3
    5    4   0.00031   0.00011         3
    5    5   0.00007   0.00003         7
    5    6   0.00011   0.00006         7
    5    7   0.00009   0.00006         8
    5    8   0.00006   0.00002         2
    5    9   0.00002   0.00001         8
    5   10   0.00002   0.00001         2
    5   11   0.00001   0.00000         6
    5   12   0.00003   0.00002         2
    6    1   0.00005   0.00002         2
    6    2   0.00035   0.00029         2
    6    3   0.00011   0.00006         3
    6    4   0.00007   0.00002         3
    6    5   0.00004   0.00002         2
    6    6   0.00024   0.00011         8
    6    7   0.00012   0.00006         8
    6    8   0.00003   0.00001         1
    6    9   0.00003   0.00002         7
    6   10   0.00004   0.00002         2
    6   11   0.00002   0.00001         7
    6   12   0.00003   0.00001         6
    7    1   0.00018   0.00005         2
    7    2   0.00005   0.00002         6
    7    3   0.00002   0.00001         8
    7    4   0.00005   0.00002         8
    7    5   0.00007   0.00002         6
    7    6   0.00007   0.00002         1
    7    7   0.00004   0.00002         3
    7    8   0.00006   0.00002         7
    7    9   0.00004   0.00002         2
    7   10   0.00001   0.00000         6
    7   11   0.00002   0.00001         5
    7   12   0.00003   0.00002         5
    8    1   0.00017   0.00007         2
    8    2   0.00006   0.00004         2
    8    3   0.00003   0.00001         4
    8    4   0.00010   0.00002         1
    8    5   0.00008   0.00004         2
    8    6   0.00005   0.00003         7
    8    7   0.00006   0.00003         1
    8    8   0.00007   0.00002         1
    8    9   0.00002   0.00001         1
    8   10   0.00001   0.00001         1
    8   11   0.00000   0.00000         5
    8   12   0.00002   0.00001         4
    9    1   0.00015   0.00007         4
    9    2   0.00012   0.00003         8
    9    3   0.00003   0.00002         5
    9    4   0.00007   0.00002         4
    9    5   0.00003   0.00001         1
    9    6   0.00005   0.00004         7
    9    7   0.00005   0.00001         4
    9    8   0.00004   0.00002         6
    9    9   0.00004   0.00002         1
    9   10   0.00002   0.00001         8
    9   11   0.00001   0.00000         7
    9   12   0.00001   0.00001         3
   10    1   0.00008   0.00005         5
   10    2   0.00010   0.00004         2
   10    3   0.00002   0.00000         6
   10    4   0.00007   0.00003         5
   10    5   0.00001   0.00001         2
   10    6   0.00003   0.00001         5
   10    7   0.00002   0.00001         2
   10    8   0.00002   0.00002         5
   10    9   0.00001   0.00001         2
   10   10   0.00006   0.00003         2
   10   11   0.00002   0.00001         7
   10   12   0.00003   0.00002         2
   11    1   0.00006   0.00002         6
   11    2   0.00009   0.00005         6
   11    3   0.00004   0.00002         4
   11    4   0.00004   0.00002         6
   11    5   0.00005   0.00001         2
   11    6   0.00002   0.00001         2
   11    7   0.00001   0.00001         1
   11    8   0.00000   0.00000         1
   11    9   0.00002   0.00001         5
   11   10   0.00005   0.00002         2
   11   11   0.00003   0.00002         4
   11   12   0.00001   0.00001         2
   12    1   0.00000   0.00000         3
   12    2   0.00001   0.00000         7
   12    3   0.00000   0.00000         5
   12    4   0.00000   0.00000         3
   12    5   0.00002   0.00001         7
   12    6   0.00000   0.00000         3
   12    7   0.00000   0.00000         3
   12    8   0.00000   0.00000         6
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         7
   12   11   0.00000   0.00000         7
   12   12   0.00000   0.00000         7


 Special analysis for state     2   0.85089
    c    v      wtot      wmax     ikmax
    1    1   0.69131   0.15958         1
    1    2   0.19638   0.05497         8
    1    3   0.00273   0.00090         5
    1    4   0.02814   0.00728         4
    1    5   0.00449   0.00160         8
    1    6   0.00283   0.00133         3
    1    7   0.00169   0.00048         6
    1    8   0.00276   0.00079         1
    1    9   0.00112   0.00044         2
    1   10   0.00134   0.00055         2
    1   11   0.00160   0.00056         3
    1   12   0.00149   0.00049         5
    2    1   0.00265   0.00054         4
    2    2   0.00164   0.00059         5
    2    3   0.00080   0.00023         3
    2    4   0.00824   0.00262         5
    2    5   0.00025   0.00013         8
    2    6   0.00022   0.00006         3
    2    7   0.00041   0.00016         7
    2    8   0.00032   0.00012         8
    2    9   0.00035   0.00027         1
    2   10   0.00052   0.00024         2
    2   11   0.00034   0.00009         1
    2   12   0.00002   0.00001         7
    3    1   0.00198   0.00044         7
    3    2   0.00063   0.00018         2
    3    3   0.01552   0.00540         6
    3    4   0.00425   0.00180         3
    3    5   0.00026   0.00018         3
    3    6   0.00068   0.00057         3
    3    7   0.00006   0.00004         3
    3    8   0.00013   0.00004         1
    3    9   0.00011   0.00004         2
    3   10   0.00018   0.00007         3
    3   11   0.00009   0.00006         3
    3   12   0.00013   0.00005         3
    4    1   0.00154   0.00061         6
    4    2   0.00729   0.00207         5
    4    3   0.00061   0.00021         5
    4    4   0.00056   0.00025         4
    4    5   0.00017   0.00005         3
    4    6   0.00005   0.00003         1
