# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.18083291E-09     -0.72268483E-09     -0.39327267E-06     -0.42499939E-03
       2     -0.36124085E-09     -0.72268483E-09     -0.78647991E-06     -0.42499939E-03
       3     -0.38820571E-09     -0.72268483E-09     -0.11253751E-05     -0.42499939E-03
       4     -0.41513183E-09     -0.72268483E-09     -0.14644203E-05     -0.42499939E-03
       5     -0.44885783E-09     -0.72268483E-09     -0.17977183E-05     -0.42499939E-03
       6     -0.48256821E-09     -0.72268483E-09     -0.21309649E-05     -0.42499939E-03
       7     -0.49100399E-09     -0.72268483E-09     -0.24597199E-05     -0.42499939E-03
       8     -0.49943779E-09     -0.72268483E-09     -0.27887457E-05     -0.42499939E-03
       9     -0.50783442E-09     -0.72268483E-09     -0.30862748E-05     -0.42499939E-03
      10     -0.51623214E-09     -0.72268483E-09     -0.33841119E-05     -0.42499939E-03
      11     -0.52371572E-09     -0.72268483E-09     -0.36501246E-05     -0.42499939E-03
      12     -0.53120724E-09     -0.72268483E-09     -0.39110917E-05     -0.42499939E-03
      13     -0.54347851E-09     -0.72268483E-09     -0.41925149E-05     -0.42499939E-03
      14     -0.55574818E-09     -0.72268483E-09     -0.44738643E-05     -0.42499939E-03
      15     -0.56219309E-09     -0.72268483E-09     -0.47895558E-05     -0.42499939E-03
      16     -0.56863854E-09     -0.72268483E-09     -0.51054492E-05     -0.42499939E-03
      17     -0.57208181E-09     -0.72268483E-09     -0.53712148E-05     -0.42499939E-03
      18     -0.57552527E-09     -0.72268483E-09     -0.56368593E-05     -0.42499939E-03
      19     -0.58109685E-09     -0.72268483E-09     -0.59117883E-05     -0.42499939E-03
      20     -0.58714931E-09     -0.72268483E-09     -0.61843798E-05     -0.42499939E-03
      21     -0.59493522E-09     -0.72268483E-09     -0.64508231E-05     -0.42499939E-03
      22     -0.60060409E-09     -0.72268483E-09     -0.67275533E-05     -0.42499939E-03
      23     -0.60488037E-09     -0.72268483E-09     -0.69971121E-05     -0.42499939E-03
      24     -0.61005293E-09     -0.72268483E-09     -0.72761570E-05     -0.42499939E-03
      25     -0.61298576E-09     -0.72268483E-09     -0.75715071E-05     -0.42499939E-03
