# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     711     0.00000     0.00000     0.00000   -4.592181065   -5.182586623   -0.590405558
     1     711     0.00000     0.00000     0.00137   -4.599099363   -5.189500865   -0.590401502
     1     711     0.00000     0.00000     0.00274   -4.606068404   -5.196469886   -0.590401482
     1     711     0.00000     0.00000     0.00411   -4.613007442   -5.203409492   -0.590402050
     1     711     0.00000     0.00000     0.00548   -4.619920902   -5.210334705   -0.590413803
     1     711     0.00000     0.00000     0.00685   -4.626812103   -5.217285785   -0.590473683
     1     711     0.00000     0.00000     0.00822   -4.633682227   -5.224323131   -0.590640904
     1     711     0.00000     0.00000     0.00959   -4.640518814   -5.231548898   -0.591030084
     1     711     0.00000     0.00000     0.01096   -4.647319042   -5.240956339   -0.593637297
     1     711     0.00000     0.00000     0.01233   -4.641796810   -5.268188971   -0.626392161
     1     711     0.00000     0.00000     0.01370   -4.636033185   -5.261517128   -0.625483943
     1     711     0.00000     0.00000     0.01507   -4.630389196   -5.254868772   -0.624479575
     1     711     0.00000     0.00000     0.01644   -4.624862085   -5.248270950   -0.623408865
     1     711     0.00000     0.00000     0.01781   -4.619465004   -5.241755514   -0.622290511
     1     711     0.00000     0.00000     0.01918   -4.614278540   -5.235283486   -0.621004946
     1     711     0.00000     0.00000     0.02055   -4.616195469   -5.231425727   -0.615230258
     1     711     0.00000     0.00000     0.02192   -4.622296386   -5.236748911   -0.614452525
     1     711     0.00000     0.00000     0.02329   -4.628578891   -5.235957072   -0.607378181
     1     711     0.00000     0.00000     0.02466   -4.621234639   -5.218858461   -0.597623822
     1     711     0.00000     0.00000     0.02603   -4.607268246   -5.196546473   -0.589278227
     1     711     0.00000     0.00000     0.02740   -4.592506649   -5.180564654   -0.588058005
     1     711     0.00000     0.00000     0.02877   -4.580871192   -5.194517774   -0.613646582
     1     711     0.00000     0.00000     0.03014   -4.576686577   -5.189559843   -0.612873265
     1     711     0.00000     0.00000     0.03151   -4.572645816   -5.184901228   -0.612255412
     1     711     0.00000     0.00000     0.03288   -4.568754586   -5.180574907   -0.611820321
     1     711     0.00000     0.00000     0.03425   -4.565016674   -5.176581658   -0.611564983
     1     711     0.00000     0.00000     0.03562   -4.561151174   -5.161897086   -0.600745912
     1     711     0.00000     0.00000     0.03699   -4.546860009   -5.135035909   -0.588175900
     1     711     0.00000     0.00000     0.03836   -4.543390893   -5.154811106   -0.611420213
