# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1     717     0.00000     0.00000     0.00000   -4.145529168   -4.644430575   -0.498901407
     1     717     0.00000     0.00000     0.01027   -4.201965345   -4.704063887   -0.502098542
     1     717     0.00000     0.00000     0.02055   -4.248312573   -4.791116150   -0.542803578
     1     717     0.00000     0.00000     0.03082   -4.345747705   -4.920470701   -0.574722996
     1     717     0.00000     0.00000     0.04110   -4.372946207   -4.920709686   -0.547763479
     1     717     0.00000     0.00000    -0.03082   -4.345747705   -4.920470701   -0.574722996
     1     717     0.00000     0.00000    -0.02055   -4.248312573   -4.791116150   -0.542803578
     1     717     0.00000     0.00000    -0.01027   -4.201965345   -4.704063887   -0.502098542
     1     718     0.00000     0.00000     0.00000   -4.145445850   -4.644324513   -0.498878663
     1     718     0.00000     0.00000     0.01027   -4.157241094   -4.668121472   -0.510880378
     1     718     0.00000     0.00000     0.02055   -4.244987552   -4.789398829   -0.544411277
     1     718     0.00000     0.00000     0.03082   -4.316080821   -4.860660261   -0.544579440
     1     718     0.00000     0.00000     0.04110   -4.372814641   -4.920559074   -0.547744433
     1     718     0.00000     0.00000    -0.03082   -4.316080821   -4.860660261   -0.544579440
     1     718     0.00000     0.00000    -0.02055   -4.244987552   -4.789398829   -0.544411277
     1     718     0.00000     0.00000    -0.01027   -4.157241094   -4.668121472   -0.510880378
     1     719     0.00000     0.00000     0.00000   -4.073812265   -4.579932497   -0.506120232
     1     719     0.00000     0.00000     0.01027   -4.122920343   -4.629263413   -0.506343069
     1     719     0.00000     0.00000     0.02055   -4.145330368   -4.669809647   -0.524479279
     1     719     0.00000     0.00000     0.03082   -4.075259003   -4.575212112   -0.499953109
     1     719     0.00000     0.00000     0.04110   -4.003981688   -4.500287471   -0.496305783
     1     719     0.00000     0.00000    -0.03082   -4.075259003   -4.575212112   -0.499953109
     1     719     0.00000     0.00000    -0.02055   -4.145330368   -4.669809647   -0.524479279
     1     719     0.00000     0.00000    -0.01027   -4.122920343   -4.629263413   -0.506343069
     1     720     0.00000     0.00000     0.00000   -4.073646050   -4.579752278   -0.506106228
     1     720     0.00000     0.00000     0.01027   -4.090043630   -4.586065416   -0.496021786
     1     720     0.00000     0.00000     0.02055   -4.036330589   -4.513145530   -0.476814941
     1     720     0.00000     0.00000     0.03082   -3.985105121   -4.442715662   -0.457610541
     1     720     0.00000     0.00000     0.04110   -4.003757689   -4.500032984   -0.496275295
     1     720     0.00000     0.00000    -0.03082   -3.985105121   -4.442715662   -0.457610541
     1     720     0.00000     0.00000    -0.02055   -4.036330589   -4.513145530   -0.476814941
     1     720     0.00000     0.00000    -0.01027   -4.090043630   -4.586065416   -0.496021786
     1     721     0.00000     0.00000     0.00000   -4.004008481   -4.504707134   -0.500698653
     1     721     0.00000     0.00000     0.01027   -3.998963266   -4.501475789   -0.502512523
     1     721     0.00000     0.00000     0.02055   -3.934307478   -4.412710558   -0.478403080
     1     721     0.00000     0.00000     0.03082   -3.931348483   -4.423280809   -0.491932326
     1     721     0.00000     0.00000     0.04110   -3.937412598   -4.392173731   -0.454761133
