
Reading eigenvectors

Reading eigenvectors

 ns, nv, nc, nk =     1   12   12    8
 nmat =     1152

kpoints follow:
    1   0.00000   0.00000   0.00000
    2   0.00000   0.00000   0.12500
    3   0.00000   0.00000   0.25000
    4   0.00000   0.00000   0.37500
    5   0.00000   0.00000   0.50000
    6   0.00000   0.00000  -0.37500
    7   0.00000   0.00000  -0.25000
    8   0.00000   0.00000  -0.12500

exciton energies follow (eV)
wtot = sum_k |A_vck|^2. wmax = max_k |A_vck|^2. |A_vc (ikmax)|^2 = wmax.


 Special analysis for state     1   1.04368
    c    v      wtot      wmax     ikmax
    1    1   0.43040   0.15941         8
    1    2   0.11352   0.08655         1
    1    3   0.00000   0.00000         4
    1    4   0.00000   0.00000         5
    1    5   0.00000   0.00000         2
    1    6   0.00000   0.00000         7
    1    7   0.00000   0.00000         7
    1    8   0.00000   0.00000         4
    1    9   0.00000   0.00000         5
    1   10   0.00000   0.00000         5
    1   11   0.00000   0.00000         1
    1   12   0.00000   0.00000         7
    2    1   0.11321   0.08622         1
    2    2   0.22183   0.11981         2
    2    3   0.00001   0.00000         4
    2    4   0.00000   0.00000         6
    2    5   0.00000   0.00000         2
    2    6   0.00000   0.00000         4
    2    7   0.00000   0.00000         1
    2    8   0.00000   0.00000         5
    2    9   0.00000   0.00000         5
    2   10   0.00000   0.00000         2
    2   11   0.00000   0.00000         7
    2   12   0.00000   0.00000         2
    3    1   0.00000   0.00000         4
    3    2   0.00004   0.00003         4
    3    3   0.08107   0.03610         4
    3    4   0.00849   0.00676         5
    3    5   0.00000   0.00000         1
    3    6   0.00000   0.00000         3
    3    7   0.00000   0.00000         8
    3    8   0.00000   0.00000         1
    3    9   0.00000   0.00000         3
    3   10   0.00000   0.00000         3
    3   11   0.00000   0.00000         7
    3   12   0.00000   0.00000         3
    4    1   0.00000   0.00000         5
    4    2   0.00000   0.00000         5
    4    3   0.00848   0.00676         5
    4    4   0.01457   0.00676         6
    4    5   0.00002   0.00002         8
    4    6   0.00000   0.00000         1
    4    7   0.00000   0.00000         8
    4    8   0.00000   0.00000         1
    4    9   0.00000   0.00000         8
    4   10   0.00000   0.00000         2
    4   11   0.00000   0.00000         2
    4   12   0.00000   0.00000         1
    5    1   0.00000   0.00000         2
    5    2   0.00000   0.00000         8
    5    3   0.00000   0.00000         1
    5    4   0.00325   0.00169         2
    5    5   0.00005   0.00002         6
    5    6   0.00000   0.00000         5
    5    7   0.00000   0.00000         8
    5    8   0.00000   0.00000         1
    5    9   0.00000   0.00000         6
    5   10   0.00000   0.00000         2
    5   11   0.00000   0.00000         1
    5   12   0.00000   0.00000         3
    6    1   0.00000   0.00000         8
    6    2   0.00000   0.00000         2
    6    3   0.00000   0.00000         8
    6    4   0.00000   0.00000         2
    6    5   0.00000   0.00000         5
    6    6   0.00003   0.00001         4
    6    7   0.00097   0.00081         8
    6    8   0.00001   0.00001         3
    6    9   0.00000   0.00000         1
    6   10   0.00000   0.00000         2
    6   11   0.00000   0.00000         8
    6   12   0.00000   0.00000         1
    7    1   0.00000   0.00000         3
    7    2   0.00000   0.00000         1
    7    3   0.00000   0.00000         1
    7    4   0.00000   0.00000         7
    7    5   0.00000   0.00000         7
    7    6   0.00002   0.00001         2
    7    7   0.00142   0.00121         7
    7    8   0.00036   0.00036         1
    7    9   0.00000   0.00000         5
    7   10   0.00000   0.00000         2
    7   11   0.00000   0.00000         3
    7   12   0.00000   0.00000         2
    8    1   0.00000   0.00000         1
    8    2   0.00000   0.00000         2
    8    3   0.00000   0.00000         3
    8    4   0.00000   0.00000         1
    8    5   0.00000   0.00000         6
    8    6   0.00001   0.00001         3
    8    7   0.00036   0.00036         1
    8    8   0.00044   0.00024         6
    8    9   0.00000   0.00000         6
    8   10   0.00000   0.00000         5
    8   11   0.00000   0.00000         7
    8   12   0.00000   0.00000         1
    9    1   0.00000   0.00000         5
    9    2   0.00000   0.00000         2
    9    3   0.00000   0.00000         3
    9    4   0.00000   0.00000         8
    9    5   0.00000   0.00000         8
    9    6   0.00000   0.00000         1
    9    7   0.00000   0.00000         1
    9    8   0.00000   0.00000         1
    9    9   0.00002   0.00001         6
    9   10   0.00021   0.00015         5
    9   11   0.00001   0.00001         8
    9   12   0.00000   0.00000         7
   10    1   0.00000   0.00000         5
   10    2   0.00000   0.00000         2
   10    3   0.00000   0.00000         6
   10    4   0.00000   0.00000         2
   10    5   0.00000   0.00000         1
   10    6   0.00000   0.00000         2
   10    7   0.00000   0.00000         1
   10    8   0.00000   0.00000         1
   10    9   0.00015   0.00015         5
   10   10   0.00105   0.00069         2
   10   11   0.00000   0.00000         8
   10   12   0.00000   0.00000         7
   11    1   0.00000   0.00000         7
   11    2   0.00000   0.00000         2
   11    3   0.00000   0.00000         3
   11    4   0.00000   0.00000         3
   11    5   0.00000   0.00000         7
   11    6   0.00000   0.00000         3
   11    7   0.00000   0.00000         8
   11    8   0.00000   0.00000         6
   11    9   0.00000   0.00000         5
   11   10   0.00000   0.00000         3
   11   11   0.00000   0.00000         7
   11   12   0.00001   0.00001         7
   12    1   0.00000   0.00000         3
   12    2   0.00000   0.00000         2
   12    3   0.00000   0.00000         3
   12    4   0.00000   0.00000         3
   12    5   0.00000   0.00000         3
   12    6   0.00000   0.00000         6
   12    7   0.00000   0.00000         1
   12    8   0.00000   0.00000         1
   12    9   0.00000   0.00000         7
   12   10   0.00000   0.00000         3
   12   11   0.00000   0.00000         7
   12   12   0.00000   0.00000         7


 Special analysis for state     2   1.09675
    c    v      wtot      wmax     ikmax
    1    1   0.46818   0.13790         2
    1    2   0.01212   0.00928         1
    1    3   0.00001   0.00001         5
    1    4   0.00000   0.00000         4
    1    5   0.00000   0.00000         8
    1    6   0.00000   0.00000         7
    1    7   0.00000   0.00000         7
    1    8   0.00000   0.00000         6
    1    9   0.00000   0.00000         5
    1   10   0.00000   0.00000         5
    1   11   0.00000   0.00000         7
    1   12   0.00000   0.00000         7
    2    1   0.01287   0.01006         1
    2    2   0.39462   0.13686         8
    2    3   0.00001   0.00001         6
